"";"id";"number";"title";"authors";"projectcode";"date";"jel";"abstracts"
"101";101;"2006-037";"A jump-diffusion Libor model and its robust calibration";"Denis Belomestny and  John Schoenmakers";"B5";"2006-04-26";"C15,  G12";" In this paper we propose a jump-diffusion  Libor model with jumps in a high-dimensional space (Rm) and test a stable non-parametric calibration algorithm which takes into account a given local covariance structure.  The algorithm returns smooth and simply structured LÃ©vy densities, and  penalizes the deviation from the Libor market model. In practice, the  procedure is FFT based, thus fast, easy to implement, and yields good  results, particularly in view of the severe ill-posedness of the underlying  inverse problem."
"102";102;"2006-038";"Adaptive Simulation Algorithms for Pricing American and Bermudan Options by Local Analysis of Financial Market";"Denis Belomestny and  Grigori N. Milstein";"B5";"2006-04-28";"C15,  G12";" Here we develop an approach for efficient pricing discrete-time American  and Bermudan options which employs the  fact that such options are equivalent to the  European ones with a consumption,  combined with analysis of the market model over a small number of steps ahead. This approach allows constructing both upper and low  bounds for the true price by Monte Carlo simulations. An adaptive choice of local low  bounds and use of the kernel interpolation technique enhance efficiency of the whole  procedure, which is supported by numerical experiments."
"103";103;"2006-039";"Macroeconomic Integration in Asia Pacific: Common Stochastic Trends and Business Cycle Coherence";"Enzo Weber";"C6";"2006-05-02";"E32,  F15,  C32";" This paper addresses the question of macroeconomic integration in the Asian Pacific region. Economically, the analysis is based on the notions of stochastic long-run convergence and business cycle coherence. The econometric procedure consists of tests for cointegration, the examination of vector error correction models, several variants of common cycle tests and forecast error variance decompositions. Results in favour of cyclical synchrony can be partly established, and are even exceeded by the broad evidence for equilibrium relations. In these domains, several leading countries are identified."
"104";104;"2006-040";"In Search of Non-Gaussian Components of a High-Dimensional Distribution";"Gilles Blanchard,  Motoaki Kawanabe,  Masashi Sugiyama,  Vladimir Spokoiny and   Klaus-Robert Müller";"B5";"2006-05-02";"C14,  C51";" Finding non-Gaussian components of high-dimensional data is an important preprocessing step for effcient information processing. This article proposes a new linear method to identify the ``non-Gaussian subspaceÂ´Â´ within a very general semi-parametric framework.  Our proposed method, called NGCA (Non-Gaussian Component Analysis), is essentially based on a linear operator which, to any arbitrary nonlinear (smooth) function, associates a vector which belongs to the low dimensional non-Gaussian target subspace  up to an estimation error. By applying this operator to a family of different nonlinear functions, one obtains a family of different vectors lying in a vicinity of the target space. As a final step, the target space itself is estimated by applying PCA to this family of vectors. We show that this procedure is consistent in the sense that the estimaton error tends to zero at a parametric rate, uniformly over the family, Numerical examples demonstrate the usefulness of our method."
"105";105;"2006-041";"Forward and reverse representations for Markov chains";"Grigori N. Milstein,  John Schoenmakers and   Vladimir Spokoiny";"B5";"2006-05-02";"C13,  C15";" In this paper we carry over the concept of reverse probabilistic representations  developed in Milstein, Schoenmakers, Spokoiny (2004) for diffusion processes, to discrete time Markov chains. We outline the construction of reverse chains in several situations and apply this to processes  which are connected with jump-diffusion models and finite state Markov chains. By combining forward and reverse  representations we then construct transition density estimators for chains which have root-N accuracy in any dimension and consider some applications."
"106";106;"2006-042";"Discussion of ""The Source of Historical Economic Fluctu- ations: An Analysis using Long-Run Restrictions"" by Neville Francis and Valerie A. Ramey";"Harald Uhlig";"C1";"2006-05-08";"E22,  E23,  E24,  E32,  C32";" This paper discusses the paper ``The Source of Historical Economic Fluctuations: An Analysis using Long-Run RestrictionsÂ´Â´ by Neville Francis and Valerie A. Ramey. It argues that these authors have made great progress both in the precise measurement of labor input as well as determining the effect of productivity shocks on labor, but a number of questions remain.  As for measurement, the issue of schooling needs further work. As for calculating the long-run impact of labor productivity shocks, unreasonable results emerge for the response of the capital stock,  if included in the VAR.  Using medium-term identification delivers more reasonable results."
"107";107;"2006-043";"An Iteration Procedure for Solving Integral Equations Related to Optimal Stopping Problems";"Denis Belomestny and  Pavel V. Gapeev";"B5";"2006-05-17";"C15,  G12";" A new algorithm for finding value functions of finite horizon optimal stopping problems in one-dimensional diffusion models is presented. It is based on a time discretization of the corresponding integral equation. The  proposed iterative procedure for solving the discretized integral equation converges in a finite number of steps and delivers in each step a lower or an upper bound for value of discretized problem on the whole time  interval. The remarks on the application of the method for solving integral equations related  to some optimal stopping problems are given."
"108";108;"2006-044";"East Germany’s Wage Gap: A non-parametric decomposition based on establishment characteristics";"Bernd Görzig,  Martin Gornig and   Axel Werwatz";"B3";"2006-05-31";"J31,  L16,  C14,  C31";" East German wages have been below the West German wage level since unification. Moreover, the East-West wage gap implied  by the contractual wages specified in collective wage agreements is drifting ever further apart from the wage gap in terms of effective wages. This paper looks at the role  of establishment-specific factors Â— such as sectoral affiliation and size of the labour  force Â— in this process. A non-parametric decomposition that has played a prominent role in the gender wage-gap literature is applied to breakdown the East- West wage gap into its constituent components. Using establishment data from the German employment statistics, the paper demonstrates that the divergence between  wage agreements and effective wages is probably not a consequence of a massive  escape from collective wage agreements, or the intense use of opt-out clauses in  such agreements in East Germany. Rather, the shift of East GermanyÂ’s economic  structure towards lower-paying types of  companies has caused the lagging behind in  the adjustment of wages."
"109";109;"2006-045";"Firm Specific Wage Spread in Germany - Decomposition of regional differences in inter firm wage dispersion";"Bernd Görzig,  Martin Gornig and   Axel Werwatz";"B3";"2006-05-31";"L16,  C14,  J30";" The purpose of this paper is to sort out firm-related differences from effects that result  from different economic structures. A non-parametric decomposition is used to  analyse firm level difference between the wage spread in the two major regions of  unified Germany. If firm-specific effects explain wage dispersion between firms, a  decomposition of the wage dispersion between firms is necessary. The decomposition  can help to find out, whether the economy-wide results for different regions are  due to the composition of the regional economies by industries and firm-size, or  whether the differences are due to firm-specific influences, like distinctions in market  power. For Germany, a considerable part of the difference in the wage spread between  the East and the West can be explained by different economic structures.  However, by far the greater part of the difference in the wage spread between firms  in the two parts of the country results from lower wages paid by firms of the same  type in East Germany compared with their counterparts in West Germany."
"110";110;"2006-046";"Produktdiversifizierung: Haben die ostdeutschen Unternehmen den Anschluss an den Westen geschafft? – Eine vergleichende Analyse mit Mikrodaten der amtlichen Statistik";"Bernd Görzig,  Martin Gornig and   Axel Werwatz";"B3";"2006-05-31";"P23,  L60,  C14";" Die Gestaltung der Produktpalette war ein zentrale Herausforderung fÃ¼r ostdeutsche Unternehmen  nach der Wende. Spezialisierung oder eine diffuse Generalistenstrategie war die  Frage. Welche Strategie sich durchgesetzt hat und ob der Anschluss an den Westen gelang,  wird in dieser Arbeit erstmals auf reprÃ¤sentativer Basis fÃ¼r das verarbeitende Gewerbe mit  den Mikrodaten der amtlichen Statistik untersucht. Mit einem nichtparametrischen Dekompositionsansatz  wird das West-Ost-DiversifizierungsgefÃ¤lle 1995 und 2001 in einen reinen Regionaleffekt  und in strukturelle Komponenten zerlegt. Dabei zeigt sich, dass bei vergleichbaren  Unternehmen heute keine signifikanten West-Ost-Unterschiede mehr im Produktdiversifizierungsverhalten  bestehen. PrÃ¤gnant sind aber weiterhin strukturelle Unterschiede Â– wie  das Defizit an hochdiversifizierten GroÃŸunternehmen."
"111";111;"2006-047";"The Division of Ownership in New Ventures";"Dominique Demougin and   Oliver Fabel";"A4";"2006-06-01";"M13,  M21";" The current study investigates a tripartite incentive contract between an innovator supplying an  intellectual asset, a professional assigned to productive tasks, and a consulting firm specializing  in matching ideas and professional skills. A rather simple pure tripartite partnership implements  the consultantÂ´s expected profit maximum and maximizes the project`s expected surplus. The  liquidity-constrained professional is compensated by receiving a share of one half in the new venture.  The consultantÂ´s and the innovatorÂ´s shares reflect the relative value of search. However, the  consultantÂ´s optimal search effort to find an appropriate production partner is inefficiently low."
"112";112;"2006-048";"The Anglo-German Industrial Productivity Paradox, 1895-1938: A Restatement and a Possible Resolution";"Albrecht Ritschl";"C5";"2006-06-22";"N10,  N60";" Recent research on international productivity comparisons with historical data has encountered  large discrepancies between benchmark comparisons and time series extrapolations from other benchmarks.  Broadberry and Burhop (2005) have recently argued that for HoffmannÂ’s (1965) widely accepted time series  for German industrial output, there is no such productivity paradox, while for a revision of that series  recently suggested by Ritschl (2004), the discrepancy between the Anglo-German benchmark and the time  series projection is considerable. Attempting to reconcile the time series evidence and the productivity  benchmarks, they discard the revised series in favor of the original, disregarding mounting evidence on  its lacking reliability. The present paper restates this productivity paradox and proposes a possible  resolution. We draw on recent archival discoveries by Fremdling and Staeglin (2003) and Fremdling (2005)  that confirm the revisions to the Hoffmann series. We also draw on recent advances in the reconstruction  of a German industry census of 1936, and argue that the productivity paradox is largely the consequence  of mismeasurement in all versions of the German series. Correcting for the omissions, much of the  Anglo-German productivity paradox disappears."
"113";113;"2006-049";"The Influence of Information Costs on the Integration of Financial Markets: Northern Europe, 1350-1560";"Oliver Volckart";"C5";"2006-06-22";"E44,  F31,  F36,  N24";" In this paper, the influence of information costs on the integration of Northern European  financial markets between ca. 1350 and 1560 is explored. The approach is based on splitting information  costs into their constitutive components and on measuring one of these, i.e. the costs of transmitting  information, which have particular importance for market integration. The analysis has two main results:  First, under pre-industrial conditions, when transmitting information was extremely labour intensive and  very little capital intensive, transmission costs can be largely identified with labour costs, and were  subject to the same influences. Next, the integration of financial markets depended crucially on the  level of transmission costs, high costs being strongly and significantly correlated with weak integration,  while lower costs favoured convergence."
"114";114;"2006-050";"Robust Econometrics";"Pavel Cizek and  Wolfgang Härdle";"B1";"2006-06-30";"";" Econometrics often deals with data under, from the statistical point of view, non-standard conditions such as heteroscedasticity or measurement errors and the estimation methods need thus be either adopted to such conditions or be at least insensitive to them. The methods insensitive to violation of certain assumptions, for example insensitive to the presence of heteroscedasticity, are in a broad sense referred to as robust (e.g., to heteroscedasticity). On the other hand, there is also a more specific meaning of the word `robust`, which stems from the field of robust statistics. This latter notion defines robustness rigorously in terms of behavior of an estimator both at the assumed (parametric) model and in its neighborhood in  the space of probability distributions. Even though the methods of robust  statistics have been used only in the simplest setting such as estimation of location, scale, or linear regression for a long time, they motivated a range of new econometric methods recently, which we focus on in this chapter."
"115";115;"2006-051";"Regression methods in pricing American and Bermudan options using consumption processes";"Denis Belomestny, Grigori N. Milstein and  Vladimir Spokoiny";"B5";"2006-07-06";"C15,  G12";" Here we develop methods for eÂ±cient pricing multidimensional discrete-time American and  Bermudan options by using regression based algorithms together with a new approach towards constructing  upper bounds for the price of the option. Applying the sample space with payoffs at the optimal stopping  times, we propose sequential estimates for continuation values, values of the consumption process, and  stopping times on the sample paths. The approach admits constructing both low and upper bounds for the  price by Monte Carlo simulations. The methods are illustrated by pricing Bermudan swaptions and snowballs  in the Libor market model."
"116";116;"2006-052";"Forecasting the Term Structure of Variance Swaps";"Kai Detlefsen and  Wolfgang Härdle";"B1";"2006-07-06";"G1,  D4,  C5";" Recently, Diebold and Li (2003) obtained  good forecasting results for yield curves in a  reparametrized Nelson-Siegel framework. We analyze similar modeling approaches for price curves of variance swaps that serve nowadays as hedging instruments for options on  realized variance."
"117";117;"2006-053";"Governance: Who Controls Matters";"Bruno Deffains and  Dominique Demougin";"A4";"2006-07-25";"G3";" In this paper, we provide an outlook for  further research on the topic of governance.  We review four different approaches on the  theory of the firm and discuss implications  for governance, namely; nexus of contracts / agency theory, property rights / incomplete contracts, adaptation, and nexus of specific investments."
"118";118;"2006-054";"On the Coexistence of Banks and Markets";"Hans Gersbach and  Harald Uhlig";"C1";"2006-08-14";"G24,  G28,  G32,  G38,  D80,  ";" We examine the coexistence of banks and financial markets, studying a credit market where the qualities of investment projects are not observable and the investment decisions  of entrepreneurs are not contractible.  Standard banks can alleviate moral-hazard problems by securing a portion of a  repayment in the case of non-investment. Financial markets operated by investment banks and rating agencies have screening know-how and can alleviate adverse-selection problems. In competition, standard banks are forced to increase repayments, since financial markets can attract the highest-quality borrowers. This, in turn, increases the share  of shirkers and may make lending unprofitable for standard banks. The coexistence of financial markets and standard banks is socially inefficient. The same inefficiency can happen with the entrance of sophisticated banks, operating with a combination of rating and ongoing monitoring technologies."
"119";119;"2006-055";"Reassessing Intergenerational Mobility in Germany and the United States: The Impact of Differences in Lifecycle Earnings Patterns";"Thorsten Vogel";"C7";"2006-09-11";"D31,  J31,  J62";" Using longitudinal data on fathers and their children, this study compares  the extent of intergenerational mobility in Germany and the United States  and introduces an estimation strategy that corrects estimates of intergenerational  earnings elasticities for a possible lifecycle bias. In contrast to previous  studies, we find that the extent of intergenerational mobility is more limited  in the US than in Germany. Furthermore,  while the errors-in-variables problems  have been dealt with extensively in the literature, the inconsistencies  in standard mobility measures due to lifecycle effects have attracted much  less attention. The present paper proposes an estimation method that corrects  for such inconsistencies. The extent of this lifecycle bias is found to be  strong in Germany but only modest in the US."
"120";120;"2006-056";"The Euro and the Transatlantic Capital Market Leadership: A Recursive Cointegration Analysis";"Enzo Weber";"C6";"2006-09-11";"E44,  F36,  C32";" In this paper, the capital market relations between the Euro area and the USA are subject to investigation. Formally based on  the uncovered interest rate parity (UIP), first  a longrun equilibrium between Euro and US government bond yields is established in backward recursively estimated vector error correction models (VECMs). Subsequently, the focus lies on interest rate leadership and adjustment as well as capital market integration. One major finding shows, that  the foundation of the European Monetary Union (EMU) strengthened its role relative to the USA. Furthermore, the transatlantic connections have become closer in the  course time."
"121";121;"2006-057";"Discounted Optimal Stopping for Maxima in Diffusion Models with Finite Horizon";"Pavel V. Gapeev";"B5";"2006-09-11";"G13";" We present a solution to some discounted optimal stopping problem for the maximum of a geometric Brownian motion on a finite time interval. The method of proof is based on reducing the initial optimal stopping  problem with the continuation region determined by an increasing continuous boundary surface to a parabolic free-boundary problem. Using the change-of-variable formula with local time on surfaces we show that the  optimal boundary can be characterized as a unique solution of a nonlinear integral equation. The result can be interpreted as pricing American fixed-strike lookback option in a diffusion model with finite time horizon."
"122";122;"2006-058";"Perpetual Barrier Options in Jump-Diffusion Models";"Pavel V. Gapeev";"B5";"2006-09-11";"G13";" We present a closed form solution to the perpetual American double barrier call  option problem in a model driven by a Brownian motion and a compound Poisson  process with exponential jumps. The method of proof is based on reducing the initial  irregular optimal stopping problem to an integro-differential free-boundary problem  and solving the latter by using continuous  and smooth fit. The obtained solution of  the nontrivial free-boundary problem gives the possibility to observe some special  analytic properties of the value function at the optimal stopping boundaries."
"123";123;"2006-059";"Discounted Optimal Stopping for Maxima of some Jump-Diffusion Processes";"Pavel V. Gapeev";"B5";"2006-09-11";"G13";" We present solutions to some discounted optimal stopping problems for the maximum process in a model driven by a Brownian motion and a compound Poisson process  with exponential jumps. The method of proof  is based on reducing the initial problems to integro-differential free-boundary  problems where the normal reflection and smooth fit may break down and  the latter then be replaced by the continuous fit. The results can be  interpreted as pricing perpetual American lookback options with fixed and  floating strikes in a jump-diffusion model."
"124";124;"2006-060";"On Maximal Inequalities for some Jump Processes";"Pavel V. Gapeev";"B5";"2006-09-11";"G13";" We present a solution to the considered in [5] and [22] optimal stopping  problem for some jump processes. The method of proof is based on  reducing the initial problem to an integro-differential free-boundary problem  where the normal reflection and smooth fit may break down and the  latter then be replaced by the continuous fit. The derived result is applied  for determining the best constants in maximal inequalities for a compound  Poisson process with linear drift and exponential jumps."
"125";125;"2006-061";"A Control Approach to Robust Utility Maximization with Logarithmic Utility and Time-Consistent Penalties";"Daniel Hernandez–Hernandez and  Alexander Schied";"A3";"2006-09-11";"G11,  D81";" We propose a stochastic control approach to the dynamic maximization of  robust utility functionals that are defined in terms of logarithmic utility and a dynamically  consistent convex risk measure. The underlying market is modeled by a diffusion process  whose coefficients are driven by an external stochastic factor process. In particular, the  market model is incomplete. Our main results give conditions on the minimal penalty  function of the robust utility functional under which the value function of our problem  can be identified with the unique classical solution of a quasilinear PDE within a class of  functions satisfying certain growth conditions. The fact that we obtain classical solutions  rather than viscosity solutions is important for the use of numerical algorithms, whose  applicability is demonstrated in examples."
"126";126;"2006-062";"On the Difficulty to Design Arabic E-learning System in Statistics";"Taleb Ahmad, Wolfgang Härdle and  Julius Mungo";"B1";"2006-09-11";"I21,  C19";" In this paper, we present a case study, which describe the development of the Statistic  e-learning-course in Arabic language Â–``Arabic MM*STATÂ´Â´. The basic frame for this E-book, the system MM*STAT was developed at the School for Business and Economics of Humboldt-UniversitÃ¤t zu Berlin. Arabic MM*STAT uses a HTML - based  filing card structure. We discuss the difficulties of the implementation of such a system  in to the standard WWW formats and present the solutions needed for Arab educational  institutions and the Arabic user. Those solutions are consistent with the Arabic language,  and include the modern trend in the e-learning environment."
"127";127;"2006-063";"Robust Optimization of Consumption with Random Endowment";"Wiebke Wittmüß";"A3";"2006-09-11";"D11,  D81";" We consider the problem of optimal consumption for an investor who is risk and uncertainty  avers. We model these preferences of the investor with the help of a convex risk-measure. Apart  from consumption the agent has the possibility to invest initial capital and random endowment  in a market where stock-prices are semimartingales. We formulate this as a maximin problem  that will be solved by duality methods."
"128";128;"2006-064";"Common and Uncommon Sources of Growth in Asia Pacific";"Enzo Weber";"C6";"2006-09-11";"O11,  F15,  C32";" This paper embarks to analyse the role of exports and investment supposed to be major  sources of economic growth in Asia Pacific. Therefore at first, the cointegration properties  of exports, capital formation and GDP are examined in vector error correction models  (VECMs). The results confirm the crucial role of exports and investment in the Asian  growth dynamics. In a second stage, the structural shocks are identified by short- and  long-run restrictions. These shocks, as well  as the corresponding dynamic responses, are  then correlated across all sample countries to provide insight into the depth of regional  coherence. At last, the identified trends are explained by various macroeconomic variables."
"129";129;"2006-065";"Forecasting Euro-Area Variables with German Pre-EMU Data";"Ralf Brüggemann, Helmut Lütkepohl and  Massimiliano Marcellino";"C2";"2006-09-11";"C22,  C53";" It is investigated whether Euro-area variables can be forecast better based on synthetic  time series for the pre-Euro period or by using just data from Germany for the pre-Euro period.  Our forecast comparison is based on  quarterly data for the period 1970Q1 - 2003Q4  for ten macroeconomic variables. The years 2000 - 2003 are used as forecasting period. A  range of different univariate forecasting methods is applied. Some of them are based on linear  autoregressive models and we also use some nonlinear or time-varying coefficient models. It  turns out that most variables which have a similar level for Germany and the Euro-area such  as prices can be better predicted based on German data while aggregated European data are  preferable for forecasting variables which need considerable adjustments in their levels when  joining German and EMU data. These results suggest that for variables which have a similar  level for Germany and the Euro-area it may be reasonable to consider the German pre-EMU  data for studying economic problems in the Euro-area."
"130";130;"2006-066";"Pension Sytems and the Allocation of Macroeconomic Risk";"Lans Bovenberg and  Harald Uhlig";"C1";"2006-09-11";"E21,  E61,  E62,  O40,  H21,  ";" This paper explores the optimal risk sharing arrangement between generations in an overlapping generations model with endogenous growth.  We allow for nonseparable preferences, paying particular attention to the risk aversion of the old as well as overall ``life-cycleÂ´Â´ risk aversion.  We provide a fairly tractable model, which can serve as a starting point to explore these issues in models with a larger number of periods of life, and show how it can be solved.  We provide a general risk sharing condition, and discuss its implications.  We explore the properties of the model quantitatively.  Among the key findings are the  following.  First and for reasonable parameters, the old typically bear a larger burden of the risk in productivity surprises, if old-age risk-aversion is smaller than life risk aversion, and vice versa.  Thus, it is not necessarily the case that the young ensure smooth consumption of the old.  Second, consumption of the young and the old always move in the same direction, even for population growth shocks.  This result is in contrast to the result of a fully-funded decentralized system without risk-sharing between generations. Third,  persistent increases in longevity will lead to lower total consumption of the old (and thus certainly lower per-period consumption of the old) as well as the young as well as higher work effort of the young.  The additional resources are instead used to increase  growth and future output, resulting in higher consumption of future generations."
"131";131;"2006-067";"Testing for the Cointegrating Rank of a VAR Process with Level Shift and Trend Break";"Carsten Trenkler, Pentti Saikkonen and  Helmut Lütkepohl";"C2";"2006-09-11";"C32";" A test for the cointegrating rank of a vector autoregressive (VAR) process with a possible  shift and broken linear trend is proposed. The break point is assumed to be known. The  setup is a VAR process for cointegrated variables. The tests are not likelihood ratio tests  but the deterministic terms including the broken trends are removed first by a GLS procedure and a likelihood ratio type test is applied to the adjusted series. The  asymptotic null distribution of the test is derived and it is shown by a Monte Carlo experiment that the test  has better small sample properties in many cases than a corresponding Gaussian likelihood ratio test for the cointegrating rank."
"132";132;"2006-068";"Integral Options in Models with Jumps";"Pavel V. Gapeev";"B5";"2006-09-11";"G13";" We present an explicit solution to the formulated in [17] optimal stopping  problem for a geometric compound Poisson process with exponential  jumps. The method of proof is based on reducing the initial problem to   an integro-differential free-boundary problem where the smooth fit may  break down and then be replaced by the continuous fit. The result can be  interpreted as pricing perpetual integral options in a model with jumps."
"133";133;"2006-069";"Constrained General Regression in Pseudo-Sobolev Spaces with Application to Option Pricing";"Zdenek Hlavka and  Michal Pesta";"B1";"2006-09-25";"C10,  C13,  C14,  C20,  C88,  ";" State price density (SPD) contains important information concerning market expectations. In  existing literature, a constrained estimator of the SPD is found by nonlinear least squares in a suitable  Sobolev space. We improve the behavior of this estimator by implementing a covariance structure taking  into account the time of the trade and by considering simultaneously both the observed Put and Call  option prices."
"134";134;"2006-070";"The Welfare Enhancing Effects of a Selfish Government in the Presence of Uninsurable, Idiosyncratic Risk";"R. Anton Braun and  Harald Uhlig";"C1";"2006-09-25";"H20,  H21,  H23,  D31,  D33,  ";" This paper poses the following question: Is it possible to improve welfare by increasing taxes  and throwing away the revenues? This paper demonstrates that the answer to this question is Â“yes.Â” We  show that there may be welfare gains from taxing capital income even when the additional capital income  tax revenues are wasted or consumed by a selfish government. Previous literature has assumed that  government expenditures are exogenous or productive, or allowed for redistribution of tax revenue either  via lump-sum transfers, unemployment compensation or other redistributive schemes. In our model a selfish  government taxes capital above a given threshold and then consumes the proceeds. This raises the  before-tax real return on capital and and thereby enhances the ability of agents to self-insure when they  are long-term unemployed and have low savings. Since all agents have positive probability of finding  themselves in that state there are cases where all agents prefer a selfish government to no government  at all."
"135";135;"2006-071";"Color Harmonization in Car Manufacturing Process";"Anton Andriyashin, Michal Benko, Wolfgang Härdle, Roman Timofeev and  Uwe Ziegenhagen";"B1";"2006-10-06";"C14,  C19,  C89";" One of the major cost factors in car manufacturing is the painting of body and other parts such as wing or bonnet. Surprisingly, the painting may be even more expensive than the body itself. From this point of view it is clear that car manufacturers need to observe the painting process carefully to avoid any deviations from the desired result. Especially for metallic colors where the shining is based on microscopic aluminium particles, customers tend to be very sensitive towards a difference in the light reflection of different parts of the car."
"136";136;"2006-072";"Optimal Interest Rate Stabilization in a Basic Sticky-Price Model";"Matthias Paustian and  Christian Stoltenberg";"C1";"2006-10-12";"E32,  E52,  E58";" This paper studies optimal monetary policy with the nominal interest rate as the single policy instrument in an economy, where firms set prices in a staggered way without indexation and real money balances contribute separately to householdsÂ´ utility. The optimal deterministic steady state under commitment is the Friedman rule - even if the importance assigned to the utility of money is small relative to consumption and leisure. We approximate the model around the optimal steady state as the long-run policy target. Optimal monetary policy is characterized by stabilization of the nominal interest rate instead of inflation stabilization as the predominant principle."
"137";137;"2006-073";"Real Balance Effects, Timing and Equilibrium Determination";"Christian Stoltenberg";"C1";"2006-10-12";"E32,  E41,  E52";" This paper examines whether the existence and the timing of real balance effects contribute to the determination of the absolute price level, as suggested by Patinkin (1949,1965), and if they affect conditions for local equilibrium uniqueness and stability. I show that there exists a unique price level sequence that is consistent with an equilibrium under interest rate policy, only if beginning-of-period money yields transaction services. Predetermined real money balances can then serve as a state variable, implying that interest rate setting must be passive - a violation of the Taylor-principle - for unique, stable, and non-oscillatory equilibrium sequences. On the contrary, when the end-of-period money stock facilitates transactions, the equilibrium displays nominal indeterminacy and equilibrium uniqueness requires an interest rate setting consistent with the Taylor-principle."
"138";138;"2006-074";"Multiple Disorder Problems for Wiener and Compound Poisson Processes With Exponential Jumps";"Pavel Gapeev";"B5";"2006-10-24";"G13";" The multiple disorder problem consists of finding a sequence of stopping times which are as close as possible to the (unknown) times of ``disorderÂ´Â´ when the distribution of an observed process changes its probability characteristics. We present a formulation and solution of the multiple disorder problem for a Wiener and a compound Poisson process with exponential jumps. The method of proof is based on reducing the initial optimal switching problems to the corresponding coupled optimal stopping problems and solving the equivalent coupled free-boundary problems by means of the smooth- and continuous-fit conditions."
"139";139;"2006-075";"Inhomogeneous Dependency Modelling with Time Varying Copulae";"Enzo Giacomini, Wolfgang Härdle, Ekaterina Ignatieva and  Vladimir Spokoiny";"B1B5";"2006-11-14";"C14";" Measuring dependence in a multivariate time series is tantamount to modelling its dynamic structure in space and time. In the context of a multivariate normally distributed time series, the evolution of the covariance (or correlation) matrix over time describes this dynamic. A wide variety of applications, though, requires a modelling framework different from the multivariate normal. In risk management the non-normal behaviour of most financial time series calls for nonlinear (i.e. non-gaussian) dependency. The correct modelling of non-gaussian dependencies is therefore a key issue in the analysis of multivariate time series. In this paper we use copulae functions with adaptively estimated time varying parameters for modelling the distribution of returns, free from the usual normality assumptions. Further, we apply copulae to estimation of Value-at-Risk (VaR) of a portfolio and show its better performance over the RiskMetrics approach, a widely used methodology for VaR estimation."
"140";140;"2006-076";"Convenience Yields for CO2 Emission Allowance Futures Contracts";"Szymon Borak, Wolfgang Härdle, Stefan Trück and  Rafal Weron";"B1";"2006-11-14";"Q28,  G13,  C19";" In January 2005 the EU-wide CO2 emissions trading system (EU-ETS) has formally entered into operation.Within the new trading system, the right to emit a particular amount of CO2 becomes a tradable commodity - called EU Allowances (EUAs) - and affected companies, traders and investors will face new strategic challenges. In this paper we investigate the nature of convenience yields for CO2 emission allowance futures. We conduct an empirical study on price behavior, volatility term structure and correlations in different CO2 EUA contracts. Our findings are that the market has changed from initial backwardation to contango with significant convenience yields in future contracts for the Kyoto commitment period starting in 2008. A high fraction of the yields can be explained by the price level and volatility of the spot prices. We conclude that the yields can be interpreted as market expectation on the price risk of CO2 emissions allowance prices and the uncertainty of EU allocation plans for the Kyoto period."
"141";141;"2006-077";"Estimation of Default Probabilities with Support Vector Machines";"Shiyi Chen, Wolfgang Härdle and  Rouslan Moro";"B1";"2006-11-16";"C14,  G33,  C45,  G32";" Predicting default probabilities is important for firms and banks to operate successfully and to estimate their specific risks. There are many reasons to use nonlinear techniques for predicting bankruptcy from financial ratios. Here we propose the so called Support Vector Machine (SVM) to estimate default probabilities of German firms. Our analysis is based on the Creditreform database. The results reveal that the most important eight predictors related to bankruptcy for these German firms belong to the ratios of activity, profitability, liquidity, leverage and the percentage of incremental inventories. Based on the performance measures, the SVM tool can predict a firms default risk and identify the insolvent firm more accurately than the benchmark logit model. The sensitivity investigation and a corresponding visualization tool reveal that the classifying ability of SVM appears to be superior over a wide range of the SVM parameters. Based on the nonparametric Nadaraya-Watson estimator, the expected returns predicted by the SVM for regression have a significant positive linear relationship with the risk scores obtained for classification. This evidence is stronger than empirical results for the CAPM based on a linear regression and confirms that higher risks need to be compensated by higher potential returns."
"142";142;"2006-078";"GHICA - Risk Analysis with GH Distributions and Independent Components";"Ying Chen, Wolfgang Härdle and  Vladimir Spokoiny";"B1B5";"2006-11-16";"C14,  C16,  C32,  C61,  G20";" Over recent years, study on risk management has been prompted by the Basel committee for regular banking supervisory. There are however limitations of some widely-used risk management methods that either calculate risk measures under the Gaussian distributional assumption or involve numerical difficulty. The primary aim of this paper is to present a realistic and fast method, GHICA, which overcomes the limitations in multivariate risk analysis. The idea is to first retrieve independent components (ICs) out of the observed high-dimensional time series and then individually and adaptively fit the resulting ICs in the generalized hyperbolic (GH) distributional framework. For the volatility estimation of each IC, the local exponential smoothing technique is used to achieve the best possible accuracy of estimation. Finally, the fast Fourier transformation technique is used to approximate the density of the portfolio returns. The proposed GHICA method is applicable to covariance estimation as well. It is compared with the dynamic conditional correlation (DCC) method based on the simulated data with d = 50 GH distributed components. We further implement the GHICA method to calculate risk measures given 20-dimensional German DAX portfolios and a dynamic exchange rate portfolio. Several alternative methods are considered as well to compare the accuracy of calculation with the GHICA one."
